TAZ,Name,#Nodes,Area
33,gw33,3,34119.76341615006
45,gw45,48,12143.857678174514
34,gw34,738,66497.49501965061
44,gw44,4,12145.072751503709
43,gw43,1,12149.547823238448
32,gw32,8,12150.837813959297
42,gw42,30,12154.78675721549
41,gw41,17,12157.2875730496
31,gw31,20,12160.89730041616
1,Monaco,21064,3150797.7643698556
14,Roquebrune-Cap-Martin,47442,13046471.667325966
13,Beausoleil,27297,3711430.291890857
12,Cap-d'Ail,15818,2905470.2639559815
11,La Turbie,35426,10457135.090434147
15,Èze,12846,5388225.555449849
16,La Trinité,3740,4229135.97876141
10,Fontvieille,2304,438647.6478501492
9,Monaco-Ville,1649,242837.83435394854
8,La Condamine,2058,589846.9609172388
7,La Rousse,2935,263333.5982214024
6,Larvotto,1204,385032.89417689753
5,Monte-Carlo,5297,568848.9634021535
4,Jardin Exotique,2494,304780.61327853345
3,Les Monegetti,1461,137458.7351851631
2,Sainte-Dévote,280,29696.060777246086
